Year;Per-capita domestic water use (m3/person);liter per day
2020;46,6;128
2019;46,6;128
2018;46,6;128
2017;46,6;128
2016;46,6;128
2015;46,6;128
2014;46,6;128
2013;46,1;126
2012;46,1;126
2011;46,1;126
2010;45,8;125
2009;44,3;121
2008;43,6;119
2007;43,8;120
2006;41,7;114
2005;40,7;112
2004;39,4;108
2003;37,9;104
2002;36,2;99
2001;35,7;98
2000;35,5;97
1999;35,4;97
1998;34,6;95
1997;34,7;95
1996;34,2;94
1995;33,2;91
1994;32,2;88
1993;30,1;82
1992;30,9;85
1991;30,2;83
1990;33;90
1989;32,2;88
1988;32,5;89
1987;31,9;87
1986;30,6;84
1985;29,8;82
1984;28,7;79
1983;29,6;81
1982;28,6;78
1981;28,4;78
1980;28,1;77
1979;25,1;69
1978;23,5;64
1977;21,5;59
1976;18,4;50
1975;18;49
1974;17,95;49
1973;17,9;49
1972;17,85;49
1971;17,8;49
1970;17,75;49
1969;17,7;48
1968;17,65;48
1967;17,6;48
1966;17,55;48
1965;17,5;48
1964;17,45;48
1963;17,4;48
1962;17,35;48
1961;17,3;47
1960;17,25;47
1959;17,2;47
1958;17,15;47
1957;17,1;47
1956;17,05;47
1955;17;47
1954;16,95;46
1953;16,9;46
1952;16,85;46
1951;16,8;46
1950;16,75;46
1949;16,7;46
1948;16,65;46
1947;16,6;45
1946;16,55;45
1945;16,5;45
1944;16,45;45
1943;16,4;45
1942;16,35;45
1941;16,3;45
1940;16,25;45
1939;16,2;44
1938;16,15;44
1937;16,1;44
1936;16,05;44
1935;16;44
1934;15,95;44
1933;15,9;44
1932;15,85;43
1931;15,8;43
1930;15,75;43
1929;15,7;43
1928;15,65;43
1927;15,6;43
1926;15,55;43
1925;15,5;42
1924;15,45;42
1923;15,4;42
1922;15,35;42
1921;15,3;42
1920;15,25;42
1919;15,2;42
1918;15,15;42
1917;15,1;41
1916;15,05;41
1915;15;41
1914;14,95;41
1913;14,9;41
1912;14,85;41
1911;14,8;41
1910;14,75;40
1909;14,7;40
1908;14,65;40
1907;14,6;40
1906;14,55;40
1905;14,5;40
1904;14,45;40
1903;14,4;39
1902;14,35;39
1901;14,3;39
1900;14,25;39
1899;14,2;39
1898;14,15;39
1897;14,1;39
1896;14,05;38
1895;14;38
1894;13,95;38
1893;13,9;38
1892;13,85;38
1891;13,8;38
1890;13,75;38
1889;13,7;38
1888;13,65;37
1887;13,6;37
1886;13,55;37
1885;13,5;37
1884;13,45;37
1883;13,4;37
1882;13,35;37
1881;13,3;36
1880;13,25;36
1879;13,2;36
1878;13,15;36
1877;13,1;36
1876;13,05;36
1875;13;36
1874;12,95;35
1873;12,9;35
1872;12,85;35
1871;12,8;35
1870;12,75;35
1869;12,7;35
1868;12,65;35
1867;12,6;35
1866;12,55;34
1865;12,5;34
1864;12,45;34
1863;12,4;34
1862;12,35;34
1861;12,3;34
1860;12,25;34
1859;12,2;33
1858;12,15;33
1857;12,1;33
1856;12,05;33
1855;12;33
1854;11,95;33
1853;11,9;33
1852;11,85;32
1851;11,8;32
1850;11,75;32
1849;11,7;32
1848;11,65;32
1847;11,6;32
1846;11,55;32
1845;11,5;32
1844;11,45;31
1843;11,4;31
1842;11,35;31
1841;11,3;31
1840;11,25;31
1839;11,2;31
1838;11,15;31
1837;11,1;30
1836;11,05;30
1835;11;30
1834;10,95;30
1833;10,9;30
1832;10,85;30
1831;10,8;30
1830;10,75;29
1829;10,7;29
1828;10,65;29
1827;10,6;29
1826;10,55;29
1825;10,5;29
1824;10,45;29
1823;10,4;28
1822;10,35;28
1821;10,3;28
1820;10,25;28
1819;10,2;28
1818;10,15;28
1817;10,1;28
1816;10,05;28
1815;10;27
1814;9,95;27
1813;9,9;27
1812;9,85;27
1811;9,8;27
1810;9,75;27
1809;9,7;27
1808;9,65;26
1807;9,6;26
1806;9,55;26
1805;9,5;26
1804;9,45;26
1803;9,4;26
1802;9,35;26
1801;9,3;25
1800;9,25;25
