date,well_000,well_002,well_004,well_005,well_008,well_010,well_013,well_015,well_021,well_022,well_023,well_024,well_031,well_032,well_038,well_039,well_041,well_044,well_048,well_050,well_053,well_059,well_060
1980-01-01,240.69,,,,214.99,,222.53,,219.82,,220.84,,,,,,,,220.8,183.93,222.39,221.61,
1980-02-01,,,,,,,,,,,,,,,,,,,,,,,
1980-03-01,,,,,,,,,,,,,,,,,,,,,,,
1980-04-01,239.92,,,,214.86,,222.05,,219.4,,220.68,,,,,,,,220.29,183.93,221.85,221.05,
1980-05-01,,,,,,,,,,,,,,,,,,,,,,,
1980-06-01,239.81,,,,219.5,,217.86,,219.19,,217.21,,,,,,,,,189.86,221.54,,
1980-07-01,,,,,,,,,,,,,,,,,,,,,,,
1980-08-01,242.38,,,,215.42000000000002,,223.47,,220.63,,221.65,,,,,,,,220.67,192.48,223.24,221.89,
1980-09-01,,,,,,,,,,,,,,,,,,,,,,,
1980-10-01,,,,,,,,,,,,,,,,,,,,,,,
1980-11-01,242.02,,,,214.5,,223.69,,219.35,,220.16,,,,,,,,220.65,192.1,222.71,222.19,
1980-12-01,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,241.57,,,,214.85,,222.75,,219.54,,220.01,,,,,,,,220.44,,223.85,221.25,
1981-02-01,,,,,,,,,,,,,,,,,,,,,,,
1981-03-01,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,240.65,,,,213.6,,222.7,,219.64,,218.79,,,,,,,,219.46,,220.8,221.35,
1981-05-01,,,,,,,,,,,,,,,,,,,,,,,
1981-06-01,240.47,,,,214.17000000000002,,222.03,,219.67,,219.92,,,,,,,,,191.52,222.23,220.85,
1981-07-01,,,,,,,,,,,,,,,,,,,,,,,
1981-08-01,242.93,,,,214.6,,223.8,,220.88,,220.44,,,,,,,,222.71,,223.85,222.83,
1981-09-01,,,,,,,,,,,,,,,,,,,,,,,
1981-10-01,,,,,,,,,,,,,,,,,,,,,,,
1981-11-01,242.52,,,,,,223.37,,220.51,,220.35,,,,,,,,221.01,,223.55,226.37,
1981-12-01,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,240.5,,,,,,222.87,,220.27,,219.84,,,,,,,,220.9,192.0,223.38,222.1,
1982-02-01,,,,,,,,,,,,,,,,,,,,,,,
1982-03-01,,,,,,,,,,,,,,,,,,,,,,,
1982-04-01,241.64,,,,,,222.97,,220.2,,219.95,,,,,,,,220.71,191.88,223.22,221.91,
1982-05-01,,,,,,,,,,,,,,,,,,,,,,,
1982-06-01,240.49,,,,,,222.48,,219.64,,219.77,,,,,,,,,191.06,222.55,220.75,
1982-07-01,,,,,,,,,,,,,,,,,,,,,,,
1982-08-01,,,,,214.41,,224.1,,220.87,,220.04,,,,,,,,222.16,191.55,223.97,222.37,
1982-09-01,,,,,,,,,,,,,,,,,,,,,,,
1982-10-01,,,,,,,,,,,,,,,,,,,,,,,
1982-11-01,238.01,,,,214.5,,222.55,,220.39,,217.64,,,,,,,,222.56,,223.9,222.25,
1982-12-01,,,,,,,,,,,,,,,,,,,,,,,
1983-01-01,241.06,,,,214.5,,222.9,,220.34,,220.34,,,,,,,,221.76,,222.1,221.95,
1983-02-01,,,,,,,,,,,,,,,,,,,,,,,
1983-03-01,,,,,,,,,,,,,,,,,,,,,,,
1983-04-01,240.53,,,,213.6,,222.6,,219.99,,218.96,,,,,,,,219.46,,220.7,221.22,
