date,well_000,well_002,well_004,well_005,well_007,well_008,well_010,well_013,well_015,well_021,well_022,well_023,well_024,well_026,well_028,well_031,well_032,well_035,well_038,well_039,well_040,well_041,well_042,well_044,well_048,well_050,well_053,well_059,well_060,well_061,well_063,well_064,well_066,well_078,well_079,well_106,well_107,well_110,well_120,well_128,well_130,well_131,well_147,well_148,well_158,well_160,well_176,well_177,well_184,well_185,well_188,well_192,well_194,well_195,well_197,well_201,well_202,well_203,well_204,well_213,well_221,well_222,well_233,well_234,well_236,well_239,well_242,well_243,well_244,well_246,well_251,well_252,well_254,well_255,well_261,well_263,well_272,well_274,well_275,well_276,well_277,well_280,well_282,well_285,well_286,well_287,well_289,well_291,well_293,well_294,well_296,well_297,well_298,well_299
1980-12-31,240.964,,,,,215.85399999999998,,221.92,,219.678,,220.108,,,233.05,,,,,,,,201.7725,,220.6025,188.46,222.346,221.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,241.628,,,,,214.305,,222.93,,220.048,,219.902,,,232.82,,,,,,,,202.985,,220.905,191.52,222.856,222.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,240.16,,,,,214.45499999999998,,222.994,,220.274,,219.448,,,233.48,,,,,,,,201.23333333333335,,221.5825,191.6225,223.404,221.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,241.9825,,,,,214.404,,223.314,,220.362,,220.2,,,233.24,,,,,,,,201.258,,221.885,191.62666666666667,222.968,221.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,241.176,,,,,214.436,,223.544,,220.362,,220.88,,,233.614,,,,,,,,200.698,,221.338,191.86599999999999,223.914,221.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,241.48666666666668,,,,,214.39,,223.24666666666667,,219.8325,,220.5125,,,233.3025,,,,,,,,199.89,,220.3925,191.1475,222.94,221.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,242.055,,,,,215.7625,,221.625,,219.945,,220.3375,,,232.9275,,,,,,,,198.30333333333334,,220.3925,190.7175,223.3825,221.64333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,240.7375,,,,,213.63666666666666,,220.0975,,219.38,,219.67,,,232.3025,,,,,205.89666666666668,197.47,,197.525,,219.3075,189.75666666666666,222.2225,220.8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,241.565,236.33,,,228.07,221.5725,225.27666666666667,221.01,,220.09,,220.0875,,,232.0225,,,,,205.25,199.9925,,200.0325,,218.645,189.1625,222.575,220.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,242.39,235.7725,244.92,,228.34333333333333,222.1375,225.9275,221.735,,220.2775,,221.27,,224.805,232.54,,,,,204.9,199.94,,198.485,205.31,219.76,189.1475,222.94,220.095,209.7175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
