,Hindon river,other rivers,Ganga,Yamuna,southern boundary,net recharge,storage change
1800-12-31,-2083545683.4738998,-2947396415.0662017,-607626790.8725226,-1026897058.9388008,-17918997.54840426,6700188809.266167,-16742412.686314257
1801-12-31,-2085659182.792067,-2949579901.1917887,-607712718.9467145,-1026954912.1716213,-17997899.902051732,6700294400.662593,-12321140.284352066
1802-12-31,-2086877739.687907,-2950751260.578803,-607767452.1555538,-1027012727.1265144,-18037219.266891405,6700398899.392941,-9903764.66536366
1803-12-31,-2087664230.1732614,-2951565903.8004518,-607807153.284213,-1027070159.7647982,-18059539.755249023,6700501983.703923,-8290641.508835428
1804-12-31,-2088201602.833048,-2952191854.61026,-607839076.0542488,-1027125519.730671,-18074006.242171332,6700605538.361208,-7139366.487925279
1805-12-31,-2088586347.7094185,-2952692650.2015467,-607866300.5106103,-1027177636.9109495,-18084171.666751936,6700706416.183798,-6266822.693921446
1806-12-31,-2088874859.8926215,-2953112324.7654786,-607890349.0998467,-1027225919.6654329,-18091993.79824996,6700806655.45189,-5583021.563376511
1807-12-31,-2089099688.1381538,-2953471447.588401,-607911983.3460994,-1027270133.6298445,-18098289.462101534,6700905695.557112,-5024799.062276038
1808-12-31,-2089282318.3330162,-2953789909.704181,-607931801.28948,-1027310112.8366718,-18103711.01999867,6701004780.070157,-4560779.661778177
1809-12-31,-2089434745.1963344,-2954074551.625696,-607950061.9623276,-1027345922.6038986,-18108494.289673746,6701101450.310621,-4163973.3387338636
1810-12-31,-2089572582.8007941,-2954342619.7329254,-607967638.2926658,-1027378836.4147948,-18113275.409999073,6701244215.190949,-3846891.8941819533
1811-12-31,-2089720762.113923,-2954623322.767888,-607986179.8469789,-1027412600.4268999,-18119281.9543027,6701543672.0163,-3658574.3950080145
1812-12-31,-2089870434.3265088,-2954902169.557511,-608005042.7870075,-1027445606.7642512,-18125726.02499163,6701844366.367132,-3473111.3971217885
1813-12-31,-2090018347.9118228,-2955174103.1913314,-608023921.3618443,-1027477405.5217295,-18132287.799518973,6702143384.952315,-3294654.1854866063
1814-12-31,-2090164047.1379097,-2955440865.25335,-608042759.0615206,-1027507726.4183999,-18139009.206455365,6702441823.095825,-3126680.2236255547
1815-12-31,-2090306965.1642396,-2955700127.165371,-608061502.971108,-1027536621.9947344,-18145760.416313127,6702740208.792671,-2969397.384182086
1816-12-31,-2090447415.694801,-2955952816.78063,-608080135.6284868,-1027564161.823559,-18152535.819460034,6703039865.405744,-2823678.0013748216
1817-12-31,-2090585325.7019877,-2956198939.427167,-608098610.4366355,-1027590351.6069754,-18159308.185190707,6703337615.447455,-2686578.5440753005
1818-12-31,-2090721910.5010722,-2956439140.525261,-608116950.5862374,-1027615269.6217092,-18166091.77549076,6703635206.455969,-2558169.017491758
1819-12-31,-2090856027.2493062,-2956671480.652901,-608135126.4106226,-1027639088.8017739,-18172771.112043366,6703932404.969808,-2438347.44637711
1820-12-31,-2090981131.5581555,-2956892001.1499276,-608152668.0089257,-1027660634.1293963,-18179148.90987125,6704180680.912071,-2298967.0848875567
1821-12-31,-2091052991.6380389,-2957041931.1410513,-608166235.6438735,-1027670755.0291244,-18182692.496252194,6704097716.575601,-1971241.4426611601
1822-12-31,-2091097244.0921807,-2957157628.478209,-608177427.945499,-1027673762.349615,-18185030.029359207,6704012913.967671,-1712304.0620976638
1823-12-31,-2091124122.9805937,-2957251003.2095847,-608186871.0997003,-1027671366.2897476,-18186686.11897418,6703925197.457594,-1497184.6989368824
1824-12-31,-2091139336.8177564,-2957328603.791171,-608195018.4688426,-1027664563.8227106,-18187924.041465446,6703836306.7057085,-1314089.1951498121
1825-12-31,-2091145686.0319173,-2957393307.6398273,-608202086.7401482,-1027653978.3031714,-18188848.533739954,6703742669.499755,-1152970.7489656876
1826-12-31,-2091145299.7527273,-2957448035.1479034,-608208257.6845459,-1027640148.8775064,-18189550.16549164,6703647269.300344,-1010964.2320884082
1827-12-31,-2091139366.6455429,-2957494197.3706555,-608213704.7299192,-1027623437.7540084,-18190068.10800709,6703548838.262715,-883734.3983601376
1828-12-31,-2091128950.2721717,-2957533322.689656,-608218548.252256,-1027604227.947285,-18190449.05515386,6703448959.401349,-769704.6627527318
1829-12-31,-2091114433.1034436,-2957565836.256372,-608222820.8651829,-1027582740.3680791,-18190695.951416373,6703344651.0310135,-664923.5001447698
1830-12-31,-2117975134.9306452,-2971823034.861666,-608226161.6549367,-1029558377.4267378,-18190446.44010468,6847029120.629929,-100848860.3636289
1831-12-31,-2133564226.2130597,-2979256064.9182286,-608231404.0500004,-1031330350.9792976,-18191797.89631231,6847142130.227966,-76260923.3397251
1832-12-31,-2143566356.8710713,-2983475019.8738813,-608237868.1290472,-1033226081.721905,-18193818.821872294,6847256258.825985,-60318208.6304549
1833-12-31,-2150187286.7554884,-2985958819.513618,-608245203.460197,-1035170879.8821715,-18196180.42614773,6847370417.904887,-49419018.8094716
1834-12-31,-2154812532.038811,-2987469422.196666,-608253154.8769443,-1037076199.8149537,-18198753.54503645,6847484373.35695,-41513577.670284234
1835-12-31,-2158222404.1360407,-2988429768.7442403,-608261647.8847038,-1038882676.6224276,-18201455.005611002,6847598901.69118,-35462477.12218827
1836-12-31,-2160915055.7603474,-2989072001.8772864,-608270557.9031289,-1040557499.4225985,-18204316.605202764,6847714777.956746,-30578060.885784857
1837-12-31,-2163095589.122276,-2989527679.527318,-608279819.2838058,-1042086447.3097091,-18207248.302975386,6847830418.067795,-26531705.755909495
1838-12-31,-2164899723.8062615,-2989870843.549298,-608289320.7970548,-1043467184.9912468,-18210241.28563024,6847946004.369075,-23119963.850743335
1839-12-31,-2166413260.428421,-2990144237.2362113,-608299071.2916253,-1044704489.6207832,-18213277.680916533,6848062455.887712,-20210652.485574003
1840-12-31,-2167706453.5564537,-2990390035.5343227,-608310010.8032533,-1045809028.816894,-18217149.876035005,6848264680.570547,-17762193.369854856
1841-12-31,-2168761501.154002,-2990538680.2396693,-608317611.2625527,-1046775072.4423903,-18218497.369973302,6848026261.007239,-15355777.786384951
1842-12-31,-2169638328.520933,-2990635003.734035,-608323061.3173137,-1047619663.3231761,-18218745.8196577,6847784107.990297,-13297496.231941685
1843-12-31,-2170374616.9678307,-2990696353.3169117,-608326913.5893904,-1048356293.2788292,-18218358.388398215,6847537671.597526,-11521233.71035085
1844-12-31,-2171009255.0614233,-2990732261.39142,-608329487.4728237,-1048996933.3391205,-18217557.121357948,6847287366.273261,-9964267.968997393
1845-12-31,-2171543636.200413,-2990748229.397512,-608330993.67895,-1049552233.0270298,-18216434.30216296,6847029771.811126,-8606104.082891565
1846-12-31,-2171993901.629369,-2990748721.064597,-608331652.2704788,-1050032012.2522473,-18215074.89651403,6846768836.219847,-7419609.825886344
1847-12-31,-2172374232.4302745,-2990735935.482674,-608331603.02599,-1050444940.2495514,-18213507.785743132,6846502992.628417,-6379548.140073189
